respcolor,stimcolor,trialnum,subject,stimword,reaction_time
G,G,78.0,156860.0,G,1983.0
Y,Y,79.0,156860.0,Y,2112.0
G,G,80.0,156860.0,G,2072.0
Y,Y,81.0,156860.0,Y,2231.0
G,G,82.0,156860.0,G,1791.0
Y,Y,83.0,156860.0,Y,1287.0
R,R,84.0,156860.0,R,1800.0
B,B,85.0,156860.0,B,1255.0
G,G,86.0,156860.0,G,1591.0
R,R,87.0,156860.0,R,3303.0
Y,Y,88.0,156860.0,Y,2512.0
G,G,89.0,156860.0,G,1848.0
B,B,90.0,156860.0,B,2048.0
G,Y,1.0,156861.0,G,2949.0
G,G,2.0,156861.0,B,5024.0
B,B,3.0,156861.0,Y,2576.0
G,G,4.0,156861.0,R,1664.0
B,B,5.0,156861.0,Y,3216.0
Y,Y,6.0,156861.0,G,3624.0
R,R,7.0,156861.0,Y,2680.0
Y,Y,8.0,156861.0,R,4424.0
B,B,9.0,156861.0,Y,4696.0
Y,Y,10.0,156861.0,R,3335.0
R,R,11.0,156861.0,G,3176.0
Y,Y,12.0,156861.0,B,2280.0
G,G,13.0,156861.0,Y,2216.0
R,R,14.0,156861.0,G,2480.0
G,G,15.0,156861.0,B,1592.0
Y,Y,16.0,156861.0,R,1800.0
G,G,17.0,156861.0,B,2184.0
B,B,18.0,156861.0,Y,3872.0
B,B,21.0,156861.0,G,2608.0
R,R,22.0,156861.0,Y,2024.0
Y,Y,23.0,156861.0,R,2064.0
B,B,24.0,156861.0,G,2040.0
Y,Y,25.0,156861.0,R,2184.0
R,R,26.0,156861.0,G,2504.0
B,B,27.0,156861.0,Y,1264.0
Y,Y,28.0,156861.0,G,1632.0
G,G,29.0,156861.0,Y,1904.0
B,B,30.0,156861.0,G,1344.0
G,G,31.0,156861.0,R,2616.0
R,R,32.0,156861.0,B,2096.0
Y,Y,33.0,156861.0,G,2384.0
G,G,34.0,156861.0,R,1608.0
R,R,35.0,156861.0,B,1720.0
Y,Y,36.0,156861.0,R,2464.0
B,B,37.0,156861.0,G,1712.0
R,R,38.0,156861.0,Y,1872.0
Y,Y,39.0,156861.0,B,2064.0
B,B,40.0,156861.0,R,1927.0
R,R,41.0,156861.0,G,2304.0
G,G,42.0,156861.0,Y,1616.0
R,R,43.0,156861.0,B,1936.0
B,B,44.0,156861.0,R,1848.0
G,G,45.0,156861.0,B,1888.0
R,R,46.0,156861.0,R,1908.0
G,G,47.0,156861.0,G,1320.0
Y,Y,48.0,156861.0,Y,1335.0
G,G,49.0,156861.0,G,1231.0
Y,Y,50.0,156861.0,Y,1271.0
G,G,51.0,156861.0,G,1127.0
R,R,52.0,156861.0,R,1807.0
Y,Y,53.0,156861.0,Y,1623.0
G,G,54.0,156861.0,G,1367.0
G,R,55.0,156861.0,R,1896.0
G,G,56.0,156861.0,G,1624.0
Y,Y,57.0,156861.0,Y,2976.0
R,R,58.0,156861.0,R,2256.0
B,B,59.0,156861.0,B,1831.0
Y,Y,60.0,156861.0,Y,2184.0
R,R,61.0,156861.0,R,1288.0
Y,Y,62.0,156861.0,Y,1503.0
R,R,63.0,156861.0,R,1295.0
G,G,64.0,156861.0,G,1312.0
R,R,65.0,156861.0,R,1120.0
Y,Y,66.0,156861.0,Y,1367.0
G,G,67.0,156861.0,G,2207.0
R,R,68.0,156861.0,R,1088.0
B,B,69.0,156861.0,B,1568.0
G,G,70.0,156861.0,G,1063.0
R,R,71.0,156861.0,R,1440.0
G,G,72.0,156861.0,G,1287.0
B,B,73.0,156861.0,B,1959.0
R,R,74.0,156861.0,R,1776.0
G,G,75.0,156861.0,G,1751.0
R,R,76.0,156861.0,R,2319.0
Y,Y,77.0,156861.0,Y,1800.0
G,G,78.0,156861.0,G,1983.0
Y,Y,79.0,156861.0,Y,2112.0
G,G,80.0,156861.0,G,2072.0
Y,Y,81.0,156861.0,Y,2231.0
G,G,82.0,156861.0,G,1791.0
Y,Y,83.0,156861.0,Y,1287.0
R,R,84.0,156861.0,R,1800.0
B,B,85.0,156861.0,B,1255.0
G,G,86.0,156861.0,G,1591.0
R,R,87.0,156861.0,R,3303.0
Y,Y,88.0,156861.0,Y,2512.0
G,G,89.0,156861.0,G,1848.0
B,B,90.0,156861.0,B,2048.0
G,G,2.0,156862.0,B,4000.0
Y,Y,3.0,156862.0,R,2920.0
R,R,4.0,156862.0,B,2184.0
B,B,5.0,156862.0,Y,2152.0
G,G,6.0,156862.0,B,5312.0
R,R,7.0,156862.0,Y,2432.0
B,B,8.0,156862.0,G,3200.0
R,R,9.0,156862.0,Y,5087.0
B,B,10.0,156862.0,G,1937.0
R,R,11.0,156862.0,B,1487.0
B,B,12.0,156862.0,Y,1263.0
G,G,13.0,156862.0,R,1215.0
B,B,14.0,156862.0,Y,2384.0
B,Y,15.0,156862.0,R,616.0
B,B,16.0,156862.0,G,1984.0
G,G,17.0,156862.0,Y,1368.0
R,R,18.0,156862.0,B,2768.0
Y,Y,19.0,156862.0,R,1391.0
B,B,20.0,156862.0,Y,1439.0
G,G,21.0,156862.0,R,1263.0
Y,Y,22.0,156862.0,B,1799.0
B,B,23.0,156862.0,Y,2880.0
G,G,24.0,156862.0,R,1681.0
R,R,25.0,156862.0,Y,1664.0
G,B,26.0,156862.0,R,1527.0
R,R,27.0,156862.0,G,2912.0
Y,Y,28.0,156862.0,B,2032.0
R,R,29.0,156862.0,G,3623.0
Y,Y,30.0,156862.0,B,1207.0
G,G,31.0,156862.0,R,1920.0
R,R,32.0,156862.0,B,2248.0
G,G,33.0,156862.0,R,1167.0
R,R,34.0,156862.0,B,1408.0
G,G,35.0,156862.0,R,1272.0
B,B,36.0,156862.0,G,2824.0
G,G,37.0,156862.0,R,1696.0
R,R,38.0,156862.0,B,2080.0
B,B,39.0,156862.0,G,1672.0
Y,Y,40.0,156862.0,B,1152.0
R,R,41.0,156862.0,G,1632.0
Y,Y,42.0,156862.0,B,1223.0
B,B,43.0,156862.0,Y,1416.0
Y,Y,44.0,156862.0,G,1104.0
R,R,45.0,156862.0,B,1392.0
R,R,46.0,156862.0,R,1701.0
Y,Y,47.0,156862.0,Y,880.0
R,R,48.0,156862.0,R,808.0
B,B,49.0,156862.0,B,1296.0
R,R,50.0,156862.0,R,840.0
G,G,51.0,156862.0,G,1000.0
R,R,52.0,156862.0,R,696.0
Y,Y,53.0,156862.0,Y,848.0
R,R,54.0,156862.0,R,768.0
Y,Y,55.0,156862.0,Y,776.0
R,R,56.0,156862.0,R,1184.0
B,B,57.0,156862.0,B,1400.0
R,R,58.0,156862.0,R,800.0
B,B,59.0,156862.0,B,1088.0
R,R,60.0,156862.0,R,896.0
Y,Y,61.0,156862.0,Y,888.0
B,B,62.0,156862.0,B,1344.0
G,G,63.0,156862.0,G,1200.0
Y,Y,64.0,156862.0,Y,1160.0
G,G,65.0,156862.0,G,1312.0
B,B,66.0,156862.0,B,1264.0
R,R,67.0,156862.0,R,856.0
B,B,68.0,156862.0,B,1368.0
G,G,69.0,156862.0,G,960.0
Y,Y,70.0,156862.0,Y,832.0
G,G,71.0,156862.0,G,1008.0
B,B,72.0,156862.0,B,1352.0
Y,Y,73.0,156862.0,Y,1032.0
R,R,74.0,156862.0,R,856.0
G,G,75.0,156862.0,G,968.0
B,B,76.0,156862.0,B,1256.0
R,R,77.0,156862.0,R,1000.0
G,G,78.0,156862.0,G,1200.0
R,R,79.0,156862.0,R,776.0
B,B,80.0,156862.0,B,944.0
G,G,81.0,156862.0,G,872.0
B,B,82.0,156862.0,B,936.0
R,R,83.0,156862.0,R,760.0
G,G,84.0,156862.0,G,904.0
Y,Y,85.0,156862.0,Y,808.0
B,B,86.0,156862.0,B,1400.0
G,G,87.0,156862.0,G,768.0
R,R,88.0,156862.0,R,584.0
B,B,89.0,156862.0,B,1128.0
G,G,90.0,156862.0,G,984.0
G,Y,1.0,156863.0,G,2949.0
G,G,2.0,156863.0,B,5024.0
B,B,3.0,156863.0,Y,2576.0
G,G,4.0,156863.0,R,1664.0
B,B,5.0,156863.0,Y,3216.0
Y,Y,6.0,156863.0,G,3624.0
R,R,7.0,156863.0,Y,2680.0
Y,Y,8.0,156863.0,R,4424.0
B,B,9.0,156863.0,Y,4696.0
Y,Y,10.0,156863.0,R,3335.0
R,R,11.0,156863.0,G,3176.0
Y,Y,12.0,156863.0,B,2280.0
G,G,13.0,156863.0,Y,2216.0
R,R,14.0,156863.0,G,2480.0
G,G,15.0,156863.0,B,1592.0
Y,Y,16.0,156863.0,R,1800.0
G,G,17.0,156863.0,B,2184.0
B,B,18.0,156863.0,Y,3872.0
B,B,21.0,156863.0,G,2608.0
R,R,22.0,156863.0,Y,2024.0
Y,Y,23.0,156863.0,R,2064.0
B,B,24.0,156863.0,G,2040.0
Y,Y,25.0,156863.0,R,2184.0
R,R,26.0,156863.0,G,2504.0
B,B,27.0,156863.0,Y,1264.0
Y,Y,28.0,156863.0,G,1632.0
G,G,29.0,156863.0,Y,1904.0
B,B,30.0,156863.0,G,1344.0
G,G,31.0,156863.0,R,2616.0
R,R,32.0,156863.0,B,2096.0
Y,Y,33.0,156863.0,G,2384.0
G,G,34.0,156863.0,R,1608.0
R,R,35.0,156863.0,B,1720.0
Y,Y,36.0,156863.0,R,2464.0
B,B,37.0,156863.0,G,1712.0
R,R,38.0,156863.0,Y,1872.0
Y,Y,39.0,156863.0,B,2064.0
B,B,40.0,156863.0,R,1927.0
R,R,41.0,156863.0,G,2304.0
G,G,42.0,156863.0,Y,1616.0
R,R,43.0,156863.0,B,1936.0
B,B,44.0,156863.0,R,1848.0
G,G,45.0,156863.0,B,1888.0
R,R,46.0,156863.0,R,1908.0
G,G,47.0,156863.0,G,1320.0
Y,Y,48.0,156863.0,Y,1335.0
G,G,49.0,156863.0,G,1231.0
Y,Y,50.0,156863.0,Y,1271.0
G,G,51.0,156863.0,G,1127.0
R,R,52.0,156863.0,R,1807.0
Y,Y,53.0,156863.0,Y,1623.0
G,G,54.0,156863.0,G,1367.0
G,R,55.0,156863.0,R,1896.0
G,G,56.0,156863.0,G,1624.0
Y,Y,57.0,156863.0,Y,2976.0
R,R,58.0,156863.0,R,2256.0
B,B,59.0,156863.0,B,1831.0
Y,Y,60.0,156863.0,Y,2184.0
R,R,61.0,156863.0,R,1288.0
Y,Y,62.0,156863.0,Y,1503.0
R,R,63.0,156863.0,R,1295.0
G,G,64.0,156863.0,G,1312.0
R,R,65.0,156863.0,R,1120.0
Y,Y,66.0,156863.0,Y,1367.0
G,G,67.0,156863.0,G,2207.0
R,R,68.0,156863.0,R,1088.0
B,B,69.0,156863.0,B,1568.0
G,G,70.0,156863.0,G,1063.0
R,R,71.0,156863.0,R,1440.0
G,G,72.0,156863.0,G,1287.0
B,B,73.0,156863.0,B,1959.0
R,R,74.0,156863.0,R,1776.0
G,G,75.0,156863.0,G,1751.0
R,R,76.0,156863.0,R,2319.0
Y,Y,77.0,156863.0,Y,1800.0
G,G,78.0,156863.0,G,1983.0
Y,Y,79.0,156863.0,Y,2112.0
G,G,80.0,156863.0,G,2072.0
Y,Y,81.0,156863.0,Y,2231.0
G,G,82.0,156863.0,G,1791.0
Y,Y,83.0,156863.0,Y,1287.0
R,R,84.0,156863.0,R,1800.0
B,B,85.0,156863.0,B,1255.0
G,G,86.0,156863.0,G,1591.0
R,R,87.0,156863.0,R,3303.0
Y,Y,88.0,156863.0,Y,2512.0
G,G,89.0,156863.0,G,1848.0
B,B,90.0,156863.0,B,2048.0
G,G,1.0,156864.0,Y,3844.0
R,R,2.0,156864.0,B,3992.0
G,G,3.0,156864.0,R,1616.0
B,B,4.0,156864.0,Y,1408.0
R,G,5.0,156864.0,R,2304.0
R,R,6.0,156864.0,B,2496.0
Y,Y,7.0,156864.0,R,2624.0
G,G,8.0,156864.0,B,2464.0
Y,B,9.0,156864.0,Y,3200.0
B,B,11.0,156864.0,Y,1816.0
R,R,12.0,156864.0,B,2224.0
G,Y,13.0,156864.0,G,1968.0
B,B,14.0,156864.0,Y,2976.0
R,R,15.0,156864.0,B,2320.0
G,G,16.0,156864.0,Y,2120.0
Y,Y,17.0,156864.0,B,2632.0
R,R,18.0,156864.0,G,2592.0
G,G,19.0,156864.0,R,1943.0
Y,Y,20.0,156864.0,G,1935.0
R,R,21.0,156864.0,B,2472.0
B,B,22.0,156864.0,R,1832.0
R,R,23.0,156864.0,B,1695.0
B,B,24.0,156864.0,Y,3319.0
Y,Y,25.0,156864.0,G,3839.0
R,R,26.0,156864.0,B,2087.0
B,B,27.0,156864.0,G,2200.0
G,G,28.0,156864.0,Y,1615.0
Y,Y,29.0,156864.0,B,2031.0
B,B,30.0,156864.0,G,1599.0
G,G,31.0,156864.0,R,1329.0
B,B,32.0,156864.0,Y,1295.0
R,R,33.0,156864.0,G,1240.0
Y,Y,34.0,156864.0,R,1943.0
G,G,35.0,156864.0,Y,2944.0
R,R,36.0,156864.0,B,1952.0
G,G,37.0,156864.0,R,2984.0
R,R,38.0,156864.0,B,1631.0
G,G,39.0,156864.0,Y,2640.0
Y,Y,40.0,156864.0,G,2240.0
G,G,41.0,156864.0,Y,1848.0
B,B,42.0,156864.0,R,2464.0
G,G,43.0,156864.0,Y,4208.0
R,R,44.0,156864.0,G,1624.0
G,G,45.0,156864.0,R,1792.0
Y,Y,46.0,156864.0,Y,2149.0
G,G,47.0,156864.0,G,1712.0
B,B,48.0,156864.0,B,1583.0
Y,Y,49.0,156864.0,Y,1505.0
B,B,50.0,156864.0,B,1415.0
R,R,51.0,156864.0,R,1128.0
G,G,52.0,156864.0,G,1048.0
B,B,53.0,156864.0,B,1232.0
G,G,54.0,156864.0,G,1175.0
Y,Y,55.0,156864.0,Y,1089.0
R,R,56.0,156864.0,R,1000.0
Y,Y,57.0,156864.0,Y,959.0
G,G,58.0,156864.0,G,1096.0
R,R,59.0,156864.0,R,984.0
G,G,60.0,156864.0,G,983.0
Y,Y,61.0,156864.0,Y,1232.0
B,B,62.0,156864.0,B,1368.0
Y,Y,63.0,156864.0,Y,1704.0
B,B,64.0,156864.0,B,968.0
G,G,65.0,156864.0,G,1056.0
Y,Y,66.0,156864.0,Y,960.0
B,B,67.0,156864.0,B,1072.0
Y,Y,68.0,156864.0,Y,984.0
B,B,69.0,156864.0,B,1584.0
G,G,70.0,156864.0,G,536.0
B,B,71.0,156864.0,B,1184.0
R,R,72.0,156864.0,R,576.0
B,B,73.0,156864.0,B,848.0
G,G,74.0,156864.0,G,1168.0
R,R,75.0,156864.0,R,872.0
Y,Y,76.0,156864.0,Y,928.0
B,B,77.0,156864.0,B,1208.0
Y,Y,78.0,156864.0,Y,992.0
B,B,79.0,156864.0,B,1280.0
Y,Y,80.0,156864.0,Y,1160.0
B,B,81.0,156864.0,B,1039.0
G,G,82.0,156864.0,G,976.0
B,B,83.0,156864.0,B,1256.0
G,G,84.0,156864.0,G,728.0
Y,Y,85.0,156864.0,Y,1008.0
R,R,86.0,156864.0,R,440.0
Y,Y,87.0,156864.0,Y,960.0
R,R,88.0,156864.0,R,807.0
G,G,89.0,156864.0,G,1120.0
Y,Y,90.0,156864.0,Y,1008.0
G,G,1.0,156865.0,Y,3844.0
R,R,2.0,156865.0,B,3992.0
G,G,3.0,156865.0,R,1616.0
B,B,4.0,156865.0,Y,1408.0
R,G,5.0,156865.0,R,2304.0
R,R,6.0,156865.0,B,2496.0
Y,Y,7.0,156865.0,R,2624.0
G,G,8.0,156865.0,B,2464.0
Y,B,9.0,156865.0,Y,3200.0
B,B,11.0,156865.0,Y,1816.0
R,R,12.0,156865.0,B,2224.0
G,Y,13.0,156865.0,G,1968.0
B,B,14.0,156865.0,Y,2976.0
R,R,15.0,156865.0,B,2320.0
G,G,16.0,156865.0,Y,2120.0
Y,Y,17.0,156865.0,B,2632.0
R,R,18.0,156865.0,G,2592.0
G,G,19.0,156865.0,R,1943.0
Y,Y,20.0,156865.0,G,1935.0
R,R,21.0,156865.0,B,2472.0
B,B,22.0,156865.0,R,1832.0
R,R,23.0,156865.0,B,1695.0
B,B,24.0,156865.0,Y,3319.0
Y,Y,25.0,156865.0,G,3839.0
R,R,26.0,156865.0,B,2087.0
B,B,27.0,156865.0,G,2200.0
G,G,28.0,156865.0,Y,1615.0
Y,Y,29.0,156865.0,B,2031.0
B,B,30.0,156865.0,G,1599.0
G,G,31.0,156865.0,R,1329.0
B,B,32.0,156865.0,Y,1295.0
R,R,33.0,156865.0,G,1240.0
Y,Y,34.0,156865.0,R,1943.0
G,G,35.0,156865.0,Y,2944.0
R,R,36.0,156865.0,B,1952.0
G,G,37.0,156865.0,R,2984.0
R,R,38.0,156865.0,B,1631.0
G,G,39.0,156865.0,Y,2640.0
Y,Y,40.0,156865.0,G,2240.0
G,G,41.0,156865.0,Y,1848.0
B,B,42.0,156865.0,R,2464.0
G,G,43.0,156865.0,Y,4208.0
R,R,44.0,156865.0,G,1624.0
G,G,45.0,156865.0,R,1792.0
Y,Y,46.0,156865.0,Y,2149.0
G,G,47.0,156865.0,G,1712.0
B,B,48.0,156865.0,B,1583.0
Y,Y,49.0,156865.0,Y,1505.0
B,B,50.0,156865.0,B,1415.0
R,R,51.0,156865.0,R,1128.0
G,G,52.0,156865.0,G,1048.0
B,B,53.0,156865.0,B,1232.0
G,G,54.0,156865.0,G,1175.0
Y,Y,55.0,156865.0,Y,1089.0
R,R,56.0,156865.0,R,1000.0
Y,Y,57.0,156865.0,Y,959.0
G,G,58.0,156865.0,G,1096.0
R,R,59.0,156865.0,R,984.0
G,G,60.0,156865.0,G,983.0
Y,Y,61.0,156865.0,Y,1232.0
B,B,62.0,156865.0,B,1368.0
Y,Y,63.0,156865.0,Y,1704.0
B,B,64.0,156865.0,B,968.0
G,G,65.0,156865.0,G,1056.0
Y,Y,66.0,156865.0,Y,960.0
B,B,67.0,156865.0,B,1072.0
Y,Y,68.0,156865.0,Y,984.0
B,B,69.0,156865.0,B,1584.0
G,G,70.0,156865.0,G,536.0
B,B,71.0,156865.0,B,1184.0
R,R,72.0,156865.0,R,576.0
B,B,73.0,156865.0,B,848.0
G,G,74.0,156865.0,G,1168.0
R,R,75.0,156865.0,R,872.0
Y,Y,76.0,156865.0,Y,928.0
B,B,77.0,156865.0,B,1208.0
Y,Y,78.0,156865.0,Y,992.0
B,B,79.0,156865.0,B,1280.0
Y,Y,80.0,156865.0,Y,1160.0
B,B,81.0,156865.0,B,1039.0
G,G,82.0,156865.0,G,976.0
B,B,83.0,156865.0,B,1256.0
G,G,84.0,156865.0,G,728.0
Y,Y,85.0,156865.0,Y,1008.0
R,R,86.0,156865.0,R,440.0
Y,Y,87.0,156865.0,Y,960.0
R,R,88.0,156865.0,R,807.0
G,G,89.0,156865.0,G,1120.0
Y,Y,90.0,156865.0,Y,1008.0
G,G,1.0,156866.0,Y,3844.0
R,R,2.0,156866.0,B,3992.0
G,G,3.0,156866.0,R,1616.0
B,B,4.0,156866.0,Y,1408.0
R,G,5.0,156866.0,R,2304.0
R,R,6.0,156866.0,B,2496.0
Y,Y,7.0,156866.0,R,2624.0
G,G,8.0,156866.0,B,2464.0
Y,B,9.0,156866.0,Y,3200.0
B,B,11.0,156866.0,Y,1816.0
R,R,12.0,156866.0,B,2224.0
G,Y,13.0,156866.0,G,1968.0
B,B,14.0,156866.0,Y,2976.0
R,R,15.0,156866.0,B,2320.0
G,G,16.0,156866.0,Y,2120.0
Y,Y,17.0,156866.0,B,2632.0
R,R,18.0,156866.0,G,2592.0
G,G,19.0,156866.0,R,1943.0
Y,Y,20.0,156866.0,G,1935.0
R,R,21.0,156866.0,B,2472.0
B,B,22.0,156866.0,R,1832.0
R,R,23.0,156866.0,B,1695.0
B,B,24.0,156866.0,Y,3319.0
Y,Y,25.0,156866.0,G,3839.0
R,R,26.0,156866.0,B,2087.0
B,B,27.0,156866.0,G,2200.0
G,G,28.0,156866.0,Y,1615.0
Y,Y,29.0,156866.0,B,2031.0
B,B,30.0,156866.0,G,1599.0
G,G,31.0,156866.0,R,1329.0
B,B,32.0,156866.0,Y,1295.0
R,R,33.0,156866.0,G,1240.0
Y,Y,34.0,156866.0,R,1943.0
G,G,35.0,156866.0,Y,2944.0
R,R,36.0,156866.0,B,1952.0
G,G,37.0,156866.0,R,2984.0
R,R,38.0,156866.0,B,1631.0
G,G,39.0,156866.0,Y,2640.0
Y,Y,40.0,156866.0,G,2240.0
G,G,41.0,156866.0,Y,1848.0
B,B,42.0,156866.0,R,2464.0
G,G,43.0,156866.0,Y,4208.0
R,R,44.0,156866.0,G,1624.0
G,G,45.0,156866.0,R,1792.0
Y,Y,46.0,156866.0,Y,2149.0
G,G,47.0,156866.0,G,1712.0
B,B,48.0,156866.0,B,1583.0
Y,Y,49.0,156866.0,Y,1505.0
B,B,50.0,156866.0,B,1415.0
R,R,51.0,156866.0,R,1128.0
G,G,52.0,156866.0,G,1048.0
B,B,53.0,156866.0,B,1232.0
G,G,54.0,156866.0,G,1175.0
Y,Y,55.0,156866.0,Y,1089.0
R,R,56.0,156866.0,R,1000.0
Y,Y,57.0,156866.0,Y,959.0
G,G,58.0,156866.0,G,1096.0
R,R,59.0,156866.0,R,984.0
G,G,60.0,156866.0,G,983.0
Y,Y,61.0,156866.0,Y,1232.0
B,B,62.0,156866.0,B,1368.0
Y,Y,63.0,156866.0,Y,1704.0
B,B,64.0,156866.0,B,968.0
G,G,65.0,156866.0,G,1056.0
Y,Y,66.0,156866.0,Y,960.0
B,B,67.0,156866.0,B,1072.0
Y,Y,68.0,156866.0,Y,984.0
B,B,69.0,156866.0,B,1584.0
G,G,70.0,156866.0,G,536.0
B,B,71.0,156866.0,B,1184.0
R,R,72.0,156866.0,R,576.0
B,B,73.0,156866.0,B,848.0
G,G,74.0,156866.0,G,1168.0
R,R,75.0,156866.0,R,872.0
Y,Y,76.0,156866.0,Y,928.0
B,B,77.0,156866.0,B,1208.0
Y,Y,78.0,156866.0,Y,992.0
B,B,79.0,156866.0,B,1280.0
Y,Y,80.0,156866.0,Y,1160.0
B,B,81.0,156866.0,B,1039.0
G,G,82.0,156866.0,G,976.0
B,B,83.0,156866.0,B,1256.0
G,G,84.0,156866.0,G,728.0
Y,Y,85.0,156866.0,Y,1008.0
R,R,86.0,156866.0,R,440.0
Y,Y,87.0,156866.0,Y,960.0
R,R,88.0,156866.0,R,807.0
G,G,89.0,156866.0,G,1120.0
Y,Y,90.0,156866.0,Y,1008.0
G,G,1.0,156867.0,Y,3844.0
R,R,2.0,156867.0,B,3992.0
G,G,3.0,156867.0,R,1616.0
B,B,4.0,156867.0,Y,1408.0
R,G,5.0,156867.0,R,2304.0
R,R,6.0,156867.0,B,2496.0
Y,Y,7.0,156867.0,R,2624.0
G,G,8.0,156867.0,B,2464.0
Y,B,9.0,156867.0,Y,3200.0
B,B,11.0,156867.0,Y,1816.0
R,R,12.0,156867.0,B,2224.0
G,Y,13.0,156867.0,G,1968.0
B,B,14.0,156867.0,Y,2976.0
R,R,15.0,156867.0,B,2320.0
G,G,16.0,156867.0,Y,2120.0
